"","Murder","Assault","UrbanPop","Rape","state"
"Alabama",1.24256408388112,0.782839347089918,-0.520906614581632,-0.00341647301516242,"alabama"
"Alaska",0.507862482177576,1.10682252261763,-1.21176419360236,2.48420294114997,"alaska"
"Arizona",0.0716334061660956,1.47880320563092,0.998980059263978,1.04287838787833,"arizona"
"Arkansas",0.232349381538747,0.230868011005672,-1.07359267779822,-0.184916601945666,"arkansas"
"California",0.278268231645218,1.26281442194578,1.75892339618678,2.06782029242705,"california"
"Colorado",0.0257145560596241,0.398859287205225,0.860808543459832,1.86496720715179,"colorado"
"Connecticut",-1.03041899638922,-0.729082138706061,0.791722785557759,-1.0817407684258,"connecticut"
"Delaware",-0.433473945005092,0.806838100832712,0.446293996047393,-0.579946294323821,"delaware"
"Florida",1.74767143505231,1.97077765735819,0.998980059263978,1.13896669142977,"florida"
"Georgia",2.20685993611703,0.482854925305002,-0.382735098777486,0.487701522914436,"georgia"
"Hawaii",-0.571230495324507,-1.49704225847545,1.2062373329702,-0.110181254738988,"hawaii"
"Idaho",-1.19113497176187,-0.609088369992094,-0.797249646189925,-0.750769945081942,"idaho"
"Illinois",0.59970018239052,0.938831246418075,1.2062373329702,0.295524915811549,"illinois"
"Indiana",-0.135001419313027,-0.693084008091871,-0.03730630926712,-0.0247694293599275,"indiana"
"Iowa",-1.28297267197482,-1.37704848976148,-0.589992372483706,-1.06038781208104,"iowa"
"Kansas",-0.410514519951857,-0.669085254349078,0.0317794486349532,-0.345063774531404,"kansas"
"Kentucky",0.438984207017869,-0.741081515577458,-0.935421161994072,-0.526563903461908,"kentucky"
"Louisiana",1.74767143505231,0.938831246418075,0.0317794486349532,0.103348308708663,"louisiana"
"Maine",-1.30593209702805,-1.05306531423377,-1.00450691989614,-1.43406454811443,"maine"
"Maryland",0.806335007869642,1.5507994668593,0.100865206537026,0.701231086362087,"maryland"
"Massachusetts",-0.77786532080363,-0.261106440721591,1.34440884877434,-0.526563903461908,"massachusetts"
"Michigan",0.990010408295529,1.01082750764645,0.584465511851539,1.48061399294601,"michigan"
"Minnesota",-1.16817554670864,-1.18505845981913,0.0317794486349532,-0.676034597875264,"minnesota"
"Mississippi",1.90838741042496,1.05882501513204,-1.48810722521066,-0.441152078082847,"mississippi"
"Missouri",0.278268231645218,0.0868754885489119,0.308122480243246,0.743936999051617,"missouri"
"Montana",-0.410514519951857,-0.741081515577458,-0.866335404091998,-0.515887425289525,"montana"
"Nebraska",-0.800824745856866,-0.825077153677234,-0.24456358297334,-0.505210947117143,"nebraska"
"Nevada",1.01296983334876,0.974829377032265,1.06806581716605,2.64435011373571,"nevada"
"New Hampshire",-1.30593209702805,-1.36504911289008,-0.659078130385779,-1.25256441918392,"new hampshire"
"New Jersey",-0.089082569206555,-0.141112672007625,1.62075188038264,-0.259651949152344,"new jersey"
"New Mexico",0.829294432922878,1.37080881378835,0.308122480243246,1.16031964777454,"new mexico"
"New York",0.76041615776317,0.998828130775058,1.41349460667642,0.519730957431583,"new york"
"North Carolina",1.19664523377465,1.99477641110098,-1.41902146730858,-0.547916859806673,"north carolina"
"North Dakota",-1.60440462272012,-1.50904163534684,-1.48810722521066,-1.48744693897634,"north dakota"
"Ohio",-0.112041994259791,-0.609088369992094,0.653551269753612,0.0179364833296026,"ohio"
"Oklahoma",-0.272757969632442,-0.237107686978798,0.1699509644391,-0.131534211083753,"oklahoma"
"Oregon",-0.663068195537451,-0.141112672007625,0.100865206537026,0.861378258947825,"oregon"
"Pennsylvania",-0.341636244792149,-0.777079646191648,0.446293996047393,-0.676034597875264,"pennsylvania"
"Rhode Island",-1.00745957133599,0.0388779810633253,1.48258036457849,-1.38068215725251,"rhode island"
"South Carolina",1.51807718451995,1.29881255255997,-1.21176419360236,0.135377743225811,"south carolina"
"South Dakota",-0.915621871123045,-1.01706718361958,-1.41902146730858,-0.900240639495297,"south dakota"
"Tennessee",1.24256408388112,0.206869257262879,-0.451820856679559,0.605142782810643,"tennessee"
"Texas",1.12776695861494,0.362861156591035,0.998980059263978,0.455672088397288,"texas"
"Utah",-1.05337842144246,-0.609088369992094,0.998980059263978,0.178083655915341,"utah"
"Vermont",-1.28297267197482,-1.47304350473265,-2.31713632003554,-1.07106429025342,"vermont"
"Virginia",0.163471106379039,-0.177110802621815,-0.175477825071266,-0.0567988638770752,"virginia"
"Washington",-0.869703021016573,-0.309103948207178,0.515379753949466,0.530407435603966,"washington"
"West Virginia",-0.479392795111564,-1.07706406797656,-1.83353601472102,-1.27391737552869,"west virginia"
"Wisconsin",-1.19113497176187,-1.41304662037567,0.0317794486349532,-1.11377020294295,"wisconsin"
"Wyoming",-0.22683911952597,-0.117113918264831,-0.382735098777486,-0.601299250668586,"wyoming"
